"govnr","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
211698,0.0577260486609373,0.335356408630592,0.488832505125948,0.05523279869736,0.118289194942624,0.806612526358021,0.0543472296621592,0.340363547221165,0.605289223116715
211599,0.0417362446946874,0.323510514103847,0.515842133378802,0.0419993526832534,0.107022499594042,0.834036944696841,0.0398266817229127,0.30864960954943,0.651523708727655
210963,0.0441788588802623,0.315001850905984,0.523932039004308,0.0442863680517744,0.11021457486291,0.823245012637269,0.0433255933235459,0.27600172026729,0.680672686409162
211706,0.0536033130182114,0.320371165481999,0.50689245714573,0.0506360514246644,0.110969911319153,0.820192545845218,0.0514730830811916,0.318208086299556,0.630318830619229
211888,0.0343718944218085,0.276081515718959,0.578252905090114,0.0317284211367031,0.0830147038384796,0.876571969386455,0.0318905195097426,0.201245480821023,0.766863999669482
210971,0.0364826489263236,0.300610373558565,0.550052492836492,0.0347533100368391,0.0903003206766179,0.863316275634495,0.0340329616822306,0.247289176257479,0.718677862060289
210989,0.0322334890044854,0.29285369954588,0.55914317318608,0.0303835087513607,0.0795473423469345,0.878031830885673,0.0298650568365234,0.226891460018289,0.743243483145186
210468,0.0333012411343578,0.27021420550132,0.581896570904189,0.0333659590375273,0.083594561819799,0.873072125181161,0.0324968342311504,0.211678367563492,0.755824798205605
210997,0.0524430388549012,0.354565455511624,0.463869364962993,0.0526251886126899,0.161427373288074,0.749117456862597,0.0520725740044084,0.364560932963131,0.583366493032458
211680,0.0530777345668231,0.378392747357419,0.425341930753697,0.0532253985844219,0.162704982039297,0.721566948446106,0.0513011192876838,0.41686389512122,0.531834985591133
210203,0.0274537022257456,0.230098549499423,0.635095077759546,0.0281864833322575,0.0319605652078837,0.934239493258715,0.027209563474622,0.0855943697703985,0.887196066754977
211003,0.0409168331174492,0.316753262209944,0.519087041970597,0.0411875985276168,0.112300231566832,0.819182483860313,0.0406403636990925,0.290914738916368,0.668444897384537
