"sta_code_h3","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
"K134181001",0.324083813251053,0.167226652800855,0.429755205832207,0.273231021815337,0.0551089692986361,0.65766634403709,0.317196519710876,0.119016313684157,0.56378716660497
"K152401001",0.229780429564063,0.191800423662221,0.501889784052974,0.211362210247704,0.0527900889327706,0.713193692909143,0.207950458360859,0.196006959782387,0.596042581856734
"K172421001",0.233282079262779,0.22501081938829,0.445564592176327,0.233728473954678,0.0465802212081164,0.707416650427091,0.234383045531998,0.143894057254993,0.621722897213025
"K175311001",0.279465732970703,0.176252829914989,0.456212648884913,0.246094081282309,0.0436309564159699,0.694735589282938,0.279881451416726,0.109815954598932,0.610302593984346
"K177301001",0.321445991598597,0.176105106280777,0.385645859929016,0.23755841406641,0.0442320773834424,0.70727136272253,0.354033844013644,0.188791901417281,0.457174254569077
"K183301001",0.147766081687302,0.246190673544605,0.494627784063326,0.138900633517403,0.071753157597277,0.777330897585674,0.158694552800167,0.154172181423157,0.687133265776676
"K191451001",0.200382333236667,0.222779808492325,0.482427571851317,0.19998860393199,0.0422558163005685,0.746289938832728,0.201611454536752,0.124172039168739,0.674216506294526
"K195401001",0.199722805871842,0.226493848538169,0.478097558867288,0.198821500883557,0.0420841205457494,0.7462685950396,0.198628898446394,0.130592553636474,0.670778547917107
"K201082001",0.137164411837037,0.159692038522394,0.621095589906863,0.11838138357735,0.0206676574232044,0.861114526003068,0.140567534834413,0.0828637554113157,0.776568709754381
"K207081010",0.156255799114186,0.165255729798928,0.602373316581589,0.112410299770824,0.0306739068385925,0.850290260731665,0.155447725672634,0.108219575111637,0.736332699215837
"K222302001",0.283901380314907,0.227502611954281,0.372391108198587,0.231780634680965,0.0823534076595368,0.642667936030288,0.276639920256428,0.305195062060625,0.418165017682946
"K222303001",0.221628783249053,0.211996135719842,0.500512489233333,0.235775381103971,0.0710153931252292,0.673915173528997,0.218129158230552,0.252424713370698,0.52944612839874
"K223402001",0.229019618280941,0.228681788346577,0.450294246876857,0.245145211943666,0.0745842618422324,0.64701338298766,0.232107957225984,0.276448847672334,0.491443195101682
"K225401001",0.261083165286453,0.210705378551693,0.440547045277679,0.224200825107748,0.0742995275801706,0.686718644656978,0.245675217778832,0.305463326491463,0.448861455729709
"K231621001",0.259056176151964,0.209772374217245,0.429471847303573,0.194609223044299,0.079794789900079,0.706763087508449,0.253120304747557,0.252676126170085,0.494203569082357
"K236301001",0.123054669126854,0.237680369796605,0.541396262790954,0.117653380726946,0.0576858396060463,0.817524504477008,0.128756616628428,0.192432728750568,0.678810654621019
"K251401001",0.234360175887304,0.239927267553362,0.424738810953731,0.237676603366445,0.0641451707239772,0.692172528571745,0.241105525900293,0.212125690353186,0.546768783746537
"K251402001",0.278366967651005,0.198966769171554,0.449510646695013,0.268962315994684,0.0498154297748869,0.662501477414167,0.262267363797455,0.191363286375317,0.546369349827349
"K252301001",0.194955280790037,0.250997947467194,0.44731850859963,0.213488816104128,0.0586129960997536,0.710804072674168,0.198709806116193,0.205139687525291,0.596150506358526
"K259301001",0.27244462289567,0.175101176099201,0.465223716828895,0.212221766773741,0.0546360000718397,0.701724059243642,0.270711384476639,0.181273135596359,0.548015479927003
"K265401001",0.323475729569361,0.175266935196312,0.432360588004924,0.248457607106744,0.0641956639004815,0.668667583028908,0.303483654172289,0.163021725248887,0.533494620578827
"K267401001",0.167543464512711,0.25241504206172,0.46199647059036,0.185598085859348,0.0594960365831242,0.733140640850936,0.176442861107389,0.210355819811365,0.613201319081255
"K271401001",0.0778883985022303,0.230205724267365,0.54877964375688,0.0731399767126245,0.086607681458271,0.823358060953335,0.0833490573520044,0.204324266526353,0.712326676121658
"K282191001",0.204164764489337,0.188162013422694,0.509253793827744,0.164912200071696,0.0752621182486547,0.735921471370476,0.199996852668446,0.240334796867353,0.559668350464193
"K287191001",0.209811403033086,0.259177432758207,0.41379620635342,0.205583457317258,0.089487028697473,0.700492029697576,0.224348315075466,0.260306619798626,0.515345065126021
"K288401001",0.187990828282998,0.285685803608696,0.418326293644818,0.178989803683331,0.0998695207489706,0.705294858063717,0.187596005033479,0.275807305651891,0.536596689314531
"K298191001",0.214354653861795,0.209211761172633,0.482259917421672,0.171791724837893,0.0749303460422254,0.729851472326918,0.20136229161723,0.223850885249369,0.574786823133406
"K315301001",0.102662837590295,0.293489703516959,0.492039563056449,0.0977064583254379,0.122894795691371,0.740178166991895,0.0943523845842024,0.270941518049974,0.634706097365803
"K322201001",0.256452025787364,0.197975545435138,0.457791887406636,0.19320398870873,0.0725525252368972,0.710543256750704,0.248531491895466,0.173093406688411,0.578375101416286
"K327301001",0.282963642095892,0.195005113524504,0.424512883211536,0.233334967583763,0.0720475311049976,0.661295201851664,0.274852198815767,0.206207190343334,0.518940610840812
"K337301001",0.21161997925409,0.186933770463923,0.509005866585161,0.152446480276409,0.0732547886602649,0.761933530084745,0.203710617500901,0.13906275906817,0.657226623430741
"K409401001",0.336740749802427,0.319839516204499,0.247426260954862,0.322807026785333,0.199649594899369,0.428004735981834,0.340745600611628,0.388574071043746,0.270680328344626
"K487312002",0.136799820700876,0.251788863898154,0.508756287108005,0.133404100765642,0.0624309846504601,0.789303327105753,0.135336684429585,0.154198688682042,0.710464626888386
"K518302002",0.18232915355132,0.262046517371658,0.433154217845469,0.19956997402941,0.0762618442535948,0.706857755867996,0.202607837965785,0.226732999021949,0.570659163012262
"K538302101",NA,NA,NA,0.192153979919216,0.0771567304395264,0.715384933001556,NA,NA,NA
"K565301001",0.247779069029969,0.251331741053252,0.421115665199399,0.23334589728658,0.0849575032712021,0.664438467540207,0.235236395848142,0.250619903766936,0.514143700384921
"K633252001",0.297552859269609,0.179123060945762,0.447401470128121,0.266120412475656,0.059326221317203,0.667970104142652,0.282544027397836,0.149453918098766,0.568002054503461
"K633401001",0.248872484769659,0.293153200069749,0.35811390692138,0.217069380504551,0.102819654100671,0.651506667104663,0.249222956311683,0.278480644956694,0.472296398731621
"K637302001",0.259750005270246,0.184853482042945,0.486169580522942,0.228531799362584,0.0663841735335169,0.690384130328646,0.255582473569923,0.127978394297355,0.616439132132726
