"grdc_no","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas"
2217450,0.60511113114718,0.169663164495306,0.17165907158209,0.5717590022469,0.114412892847139,0.285878140109287
2217451,NA,NA,NA,NA,NA,NA
2217460,NA,NA,NA,NA,NA,NA
2217470,0.169339532854011,0.188771453946006,0.59140683977598,0.171498306787399,0.0523620284976737,0.777661236823829
2217480,0.212703529025907,0.321869959343906,0.397031817710407,0.184657173948511,0.200302667996722,0.566812740346814
2218100,NA,NA,NA,NA,NA,NA
2218101,0.489892034621623,0.284579266466747,0.182594147636297,0.435392898443137,0.194559644212131,0.307626961823621
2218120,NA,NA,NA,NA,NA,NA
2218200,0.696335456216312,0.104399073514763,0.167427358945273,0.672115589140631,0.0574059272910237,0.259072598310929
2218201,NA,NA,NA,NA,NA,NA
2218202,NA,NA,NA,NA,NA,NA
2218203,0.710154905136239,0.0937196545919817,0.177402833941137,0.679445551477272,0.0470948782717276,0.267271255254882
2218204,NA,NA,NA,NA,NA,NA
2218300,0.463189788595298,0.207509592106294,0.300300543297806,0.432210600178873,0.104121915905387,0.44767595382929
2218301,0.51930148389198,0.19665975891605,0.246867817032456,0.499569003608233,0.0953897718417958,0.393666237911545
2240100,0.794541343749266,0.0810010617583406,0.080490147540378,0.816504900649064,0.0488833074172538,0.137290823016446
2240102,0.550864210461405,0.194629233519613,0.158805699847368,0.565222175488047,0.0892346810453798,0.306026639201587
2240103,0.470627449653375,0.195912159582558,0.241022315874054,0.473779319922594,0.100344352138384,0.425189624881002
2240200,0.806618295030663,0.0570038345159928,0.0703088232012969,0.853388893337681,0.0317689252074274,0.112061836923049
2240210,0.795192907779664,0.0920753712659926,0.0901161637329405,0.783742059104409,0.0436512502543421,0.164764299732911
2240300,0.711469166974536,0.0930115223810564,0.111676992880937,0.740029932383972,0.0445568272778455,0.208282139242453
2240301,0.795306880462625,0.0677117956161009,0.0998982509636233,0.804876635830554,0.019524851989145,0.164906547729027
2240302,0.815571213899097,0.05458173726506,0.0976357807298471,0.819622347425636,0.0167575447375222,0.160984863077263
2240310,0.736785888162981,0.117655916730359,0.0869458876159513,0.741990386612458,0.0641509220323329,0.163660691000401
2260100,0.644425678997312,0.114646235461666,0.20133524336715,0.627979305786256,0.0374012381459987,0.333826523179654
2260110,0.760936213973273,0.0654226445541653,0.153657659395465,0.747098159816404,0.019816537515076,0.227342862940086
