"","gauge_ID","country","calculated_drain_area","NSE","KGE","NSEB","KGEB","BE","r_halfFlowDay","r_QCI","r_slope_fdc","r_BFI","rPearson","Beta","Beta_p","Gamma","Gamma_p","KGElf","r_mag_m1","r_mag_m2","r_mag_m3","r_mag_m4","r_mag_m5","r_mag_m6","r_mag_m7","r_mag_m8","r_mag_m9","r_mag_m10","r_mag_m11","r_mag_m12","r_mag_ann","r_min_1d","r_min_3d","r_min_7d","r_min_30d","r_min_90d","r_max_1d","r_max_3d","r_max_7d","r_max_30d","r_max_90d","r_min_timing","r_max_timing","r_no_high_pulses","r_no_low_pulses","r_dur_high_pulses","r_dur_low_pulses","r_numDays_low","r_numDays_high","r_mean_pos_diff","r_mean_neg_diff","r_no_rises","r_no_falls","r_rld","r_fld","CoV","QCI","geometry","mdl"
"1742",4122220,"US",19390,-0.738903938406382,-1.36044039603611,-0.00687577685868312,-0.213676967904862,-0.727029270513915,0.556760059954746,0.313320825515947,0.262664165103189,0.0885553470919324,0.381075041823037,0.381075041823037,-1.18575641275099,0.358845054996306,0.358845054996306,-0.507757514790896,0.574102584879669,0.574912891986063,0.561299732598655,0.703751721902601,0.678470140183129,0.213353861113362,0.283040272263188,0.410452961672474,0.379965156794425,0.716550522648084,0.626306620209059,0.686585365853659,0.565103189493433,0.536317605352933,0.544115578252323,0.536516722762937,0.54859287054409,0.525140712945591,0.447394343566436,0.424202626641651,0.416697936210131,0.404502814258912,0.477110694183865,0.147970589984927,0.194586480488067,-0.0598949600736739,0.279060412740342,0.370172220652029,0.492503596401294,0.512221811328482,0.349753516948861,-0.281425891181989,-0.316885553470919,0.0634437036772905,-0.120301961287637,-0.253330831300432,-0.317448405253283,0.801654434306423,NA,c(-98.2337036132812, 38.7266998291016),"nearing-glofas"
"1743",4122221,"US",9205.8,-1519.58661230923,-268.45402308708,-0.0187094925150473,-0.271734439749042,-1491.65970669922,0.350951802349129,0.147368421052632,-0.0201529222612486,-0.106477732793522,0.128018792323281,0.128018792323281,-268.45113673774,0.108306484327649,0.108306484327649,-0.33607731150551,0.242084152916714,0.349768990207683,0.456063591287833,0.455492079300984,0.397309671733272,0.195470383275261,0.229133998948055,0.200498372321786,0.174854269348075,0.265196060858047,0.143553003524844,0.244486736937713,0.460121457489879,0.208212421611797,0.208212421611797,0.271427683840414,0.0913271834318154,0.0914006813895181,0.360240903341053,0.361943319838057,0.416801619433198,0.472672064777328,0.45587044534413,-0.138137259855904,-0.0484532429358818,0,0,0.0286981895115032,0,0,0.0313087004796236,-0.0896761133603239,-0.112955465587045,0.111976958852442,0.200194303791092,0.0363397106831906,-0.0908906882591093,1.79532148613821,NA,c(-100.855697631836, 38.7924995422363),"nearing-glofas"
"1744",4122222,"US",49618.3,-0.482112761540562,0.115852001056288,0.0246435753374536,-0.0988298971246115,-0.519560156743052,0.626356893995218,0.44390243902439,0.538649155722326,0.439024390243902,0.630880259382906,0.630880259382906,0.21622615784575,0.823458601235562,0.823458601235562,0.288898942016178,0.742646463009481,0.643140750344381,0.671663560489425,0.803658536585366,0.704355400696864,0.615853658536585,0.543728222996516,0.631881533101045,0.617770034843206,0.80191637630662,0.747386759581882,0.755923344947735,0.761913696060037,0.696622889305816,0.706754221388368,0.726641651031895,0.708818011257036,0.671294559099437,0.621042263453514,0.664759135775166,0.684427767354597,0.696435272045028,0.719887429643527,0.496710421180325,0.411129908845355,0.190114005096926,0,0.495400391629303,0,0,0.653618770951111,0.241838649155722,0.149155722326454,0.623395189663831,0.613655733466891,0.374108818011257,0.164915572232645,0.497254434620505,NA,c(-97.1203002929688, 38.9067001342773),"nearing-glofas"
"1745",4122230,"US",7442.8,-4.31802010280849,-1.44890284447166,-0.00478214471827276,-0.202978190612196,-4.29270959955164,0.692954136411443,0.547467166979362,0.136210131332083,0.4953095684803,0.537180670127611,0.537180670127611,-1.38836207718754,0.71955393065642,0.71955393065642,-0.126055058092416,0.498581962563812,0.420954541771331,0.636010047808119,0.741998217324366,0.693554006968641,0.562020905923345,0.524390243902439,0.728397212543554,0.741114982578397,0.825261324041812,0.689372822299652,0.624216027874565,0.720262664165103,0.504950057732691,0.491205028918822,0.477883578554713,0.527954971857411,0.615384615384615,0.567917448405253,0.621951219512195,0.677861163227017,0.673170731707317,0.679924953095685,0.127728164889535,0.396761345048655,0.0174791966594336,0.340442459790003,0.480503670425858,0.461336388365873,0.452546150628886,0.704058702257219,-0.399624765478424,-0.353846153846154,0.0401394723652829,0.0375345972540626,0.160075066094059,-0.349155722326454,0.499096865091561,NA,c(-97.8741989135742, 39.0041999816895),"nearing-glofas"
"1746",4122240,"US",17722,0.111300274498435,0.18268426954042,0.00997627563452819,-0.146194749416288,0.102345021003257,0.568108162851934,0.45668016194332,0.352834008097166,0.429757085020243,0.568481865641287,0.568481865641287,0.31577398905817,0.883244405158113,0.883244405158113,-0.878672715112875,0.314642249412527,0.350133700672555,0.506271777003484,0.653658536585366,0.706620209059234,0.571777003484321,0.450871080139373,0.602961672473868,0.606271777003484,0.677177700348432,0.575261324041812,0.555226480836237,0.655465587044535,0.244356717518725,0.22541626629405,0.224696356275304,0.190485829959514,0.333198380566802,0.630161943319838,0.652024291497976,0.649595141700405,0.648582995951417,0.536437246963563,0.109862297494812,0.417215198430307,0.0454423762608146,0.0725082974074113,0.62260234577955,0.38358411952386,0.531844242095661,0.605380891640718,0.572064777327935,0.491902834008097,0.438314589337634,0.518995433994442,-0.116432120385434,0.459919028340081,0.459059499417499,NA,c(-97.4764022827148, 38.9688987731934),"nearing-glofas"
"1747",4122250,"US",5855.5,-0.0243196520285833,-0.154220882609237,0.0139698384554162,-0.134070419008997,-0.038831966786919,0.385099362831324,0.237898686679174,0.0904315196998124,0.127392120075047,0.234010832355797,0.234010832355797,0.231192170214471,1.39296432632423,0.607035673675774,-2.53052322718433,0.614455878778057,0.569888987926424,0.46114577424844,0.413985900656349,0.173648812900089,0.410096426545661,0.35677821894498,0.316424925046593,0.323344947735192,0.543554006968641,0.546864111498258,0.634668989547038,0.489305816135084,0.238483911360069,0.278437075216017,0.323827392120075,0.563414634146341,0.396622889305816,0.304531383270961,0.345028142589118,0.402439024390244,0.410506566604128,0.484240150093809,0.0396932598920593,0.384196696696697,0.358107719958517,-0.00423789689763006,0.182598280692272,0.543403779634297,0.577112171092409,0.436678256460485,0.65328330206379,0.683864915572233,0.0174701425417133,0.0615928544548038,0.193179154701879,0.687992495309568,0.710097948708021,NA,c(-93.9427032470703, 39.9269981384277),"nearing-glofas"
"1748",4122251,"US",18032.8,-0.193298299644055,-3.1155059979157,0.0291651905464244,-0.0850984635992169,-0.229146594275591,0.181919475384173,0.0518218623481781,0.183198380566802,0.103441295546559,0.0520809213216412,0.0520809213216412,0.00795164027588979,4.88003596518465,-2.88003596518465,-9.15943912267127,0.395121951219512,0.417260787992495,0.312007504690431,0.235365853658537,0.133797909407666,0.192682926829268,0.397212543554007,0.290592334494774,0.124912891986063,0.382926829268293,0.472983114446529,0.551969981238274,0.388663967611336,0.248139719413349,0.372672064777328,0.432793522267206,0.265182186234818,0.124089068825911,0.23663967611336,0.217004048582996,0.257287449392713,0.418218623481781,0.43502024291498,0.0596070117662506,0.155147096254391,0.00318529494648516,-0.30993682559699,0.112461366756746,0.324585380633364,0.410387663628659,0.0501750713222403,0.169838056680162,0.154858299595142,0.160661878025716,0.133604474508622,0.18051126320267,0.195344129554656,0.619612852454566,NA,c(-93.2738037109375, 39.6403007507324),"nearing-glofas"
"1749",4122255,"US",4565.2,-0.75881025785067,0.026981643229423,0.0189785371813934,-0.11757848622002,-0.792835656008353,0.328592886081156,0.114258911819887,0.110881801125704,-0.133020637898687,0.256073726844987,0.256073726844987,0.435301587478779,0.727137167026691,0.727137167026691,0.0814377123296817,0.513167490478892,0.423223401669233,0.460335467142047,0.270561542824731,0.245279961105259,0.441860465116279,0.320152337736002,0.173000567214974,0.35801393728223,0.554878048780488,0.539547038327526,0.471777003484321,0.467729831144465,0.317586905617222,0.322889305816135,0.318386491557223,0.479549718574109,0.430393996247655,0.282015199664975,0.249906191369606,0.218198874296435,0.35328330206379,0.434709193245779,0.107273719500314,0.197203584883703,0.0389274299039493,0.109124007012852,0.317177309972361,0.223310647944703,0.26358140667919,0.435825238642185,-0.142213883677298,-0.193058161350844,-0.182823058530146,-0.0853759526491429,0.192710043839194,-0.230769230769231,0.667669455316576,NA,c(-93.644401550293, 40.0794982910156),"nearing-glofas"
"1750",4122260,"US",2984,-0.0616654930950353,-0.0787523349489274,-0.000970968304058184,-0.18736491237043,-0.0606356494972193,0.202664374537796,0.238259109311741,-0.101821862348178,0.15080971659919,0.167569634666039,0.167569634666039,0.326385003890734,0.8695809674762,0.8695809674762,0.166319332889635,0.252896847905356,0.381573616400616,0.320314399157281,0.306052994084758,0.181881533101045,0.201393728222997,0.299437148217636,0.105440900562852,0.28968105065666,0.283101045296167,0.323519163763066,0.475609756097561,0.542914979757085,0.390342667859864,0.427450782469589,0.402429149797571,0.325527957106904,0.280446438341175,0.459077800504274,0.46895085843751,0.473076923076923,0.438450596345333,0.355728197833461,0.119397381273846,-0.177113946753912,0.40878824692598,0.258544104769674,0.217773630752238,0.255273270638586,0.370608701946961,0.506792979209531,0.365182186234818,0.337651821862348,0.0428045916472825,0.0539465658531742,-0.0438281290100242,0.335222672064777,0.529919590604503,NA,c(-93.1968994140625, 38.9921989440918),"nearing-glofas"
"1751",4122270,"US",3322.4,-0.013206201452489,0.334488633459332,0.0444903746998663,-0.0433621559538948,-0.0603830402380636,0.548821709300897,0.286491557223264,0.43827392120075,0.238836772983114,0.3643133931698,0.3643133931698,0.877963678983704,0.845355073654706,0.845355073654706,-0.197014558659059,0.479790940766551,0.579442508710801,0.588501742160279,0.753832752613241,0.614285714285714,0.615679442508711,0.598954703832753,0.44006968641115,0.4801393728223,0.568815331010453,0.629790940766551,0.762288930581613,0.744277673545966,0.381131284325049,0.374484052532833,0.357786116322702,0.54390243902439,0.53921200750469,0.58736338542031,0.613696060037523,0.632457786116323,0.663977485928705,0.712757973733583,0.430937419618472,0.280285259749488,0.293249187543778,0.36050145577098,0.538920209174908,0.490251439406742,0.581220693604078,0.666979641769686,-0.715009380863039,-0.646904315196998,0.196507831383837,0.178706533229843,0.0525352972105692,-0.664540337711069,0.656363579065563,NA,c(-95.2679977416992, 38.6185989379883),"nearing-glofas"
"1752",4122271,"US",8429.3,0.0767287460474478,0.418283351521107,0.0366139711870079,-0.064294580778459,0.0416393570808434,0.394198272624859,0.367917448405253,0.0545966228893058,0.481613508442777,0.475449175239595,0.475449175239595,0.76912456895713,1.09968563939437,0.900314360605632,0.0399291504193771,0.505874726521352,0.516376306620209,0.632926829268293,0.487456445993031,0.653310104529617,0.516376306620209,0.562891986062718,0.489547038327526,0.589547038327526,0.754529616724739,0.521254355400697,0.630662020905923,0.642589118198874,0.467542213883677,0.446737652351304,0.460037523452158,0.491181988742964,0.477298311444653,0.366902763197386,0.377485928705441,0.34859287054409,0.308067542213884,0.569043151969981,0.0470157676290008,0.340167981959712,0.36639674581315,0.204886456439097,0.332176040380924,0.465731576250127,0.550931361906956,0.686060157878003,0.779737335834897,0.841651031894934,-0.199122572912102,-0.150914964677086,0.0911905432029271,0.84390243902439,0.603572067972416,NA,c(-94.6679992675781, 38.2224998474121),"nearing-glofas"
"1753",4122280,"US",7479.5,-3.11231455180503,-0.143935339606726,0.0365573714503152,-0.065571600060077,-3.26835436791445,0.372337437353532,0.275797373358349,0.210506566604128,-0.0939962476547842,0.278844606920708,0.278844606920708,0.114419105850637,1.06534095309545,0.934659046904553,-1.90038315940006,0.416740944818086,0.417065067660643,0.373308483915404,0.370391378332388,0.524997974232234,0.446074062069524,0.466331739729357,0.248954703832753,0.34006968641115,0.441811846689896,0.621777003484321,0.600696864111498,0.380675422138837,0.474528569496156,0.469065153665796,0.434333958724203,0.496998123827392,0.401688555347092,0.200956938683425,0.20562851782364,0.212007504690432,0.19906191369606,0.201125703564728,-0.270271448123742,0.263254200276929,0.124408402818698,0.0394988828624451,0.140545105000542,0.134546819882906,0.527953809904311,0.471938065564081,0.673733583489681,0.634896810506567,-0.177565706108448,-0.058185915847613,-0.202120675418223,0.628517823639775,0.573950104966769,NA,c(-91.9774017333984, 37.9297981262207),"nearing-glofas"
"1754",4122281,"US",8420.3,-0.0919730621044312,0.0205357782603135,0.0391044819537044,-0.0457125789957784,-0.136411859142234,0.362767601060873,0.207028265851795,0.148051948051948,0.133078686019862,0.247396397964185,0.247396397964185,0.402406884995709,1.18926290912462,0.81073709087538,-8.56544669579416,0.379831932773109,0.238655462184874,0.347619047619048,0.33921568627451,0.486834733893557,0.525770308123249,0.448459383753501,0.132161955691367,0.377234530175707,0.457142857142857,0.56218487394958,0.659103641456583,0.418487394957983,0.438450382116783,0.411096256684492,0.422794117647059,0.407754010695187,0.418114973262032,0.273970510387782,0.265708556149733,0.15307486631016,0.226938502673797,0.329211229946524,-0.267054173112434,0.215776198750014,0.374785225334105,-0.37313478886835,-0.0579200735243284,0.154939262427892,0.535651523440074,0.528319194388982,0.786096256684492,0.748328877005348,-0.192736754270301,-0.144168850956,-0.282585069125723,0.744318181818182,0.580207428955939,NA,c(-91.8209991455078, 38.3889007568359),"nearing-glofas"
"1755",4122300,"US",36212.3,-0.531585407066839,-0.149036805333634,0.0608611717529385,-0.00178089457493646,-0.630840255988139,0.69719698217115,0.585512638144217,0.266221687274319,0.494474231316336,0.396324873012476,0.396324873012476,0.0810824111667899,1.33384485318914,0.666155146810857,-5.34224710040881,0.712717770034843,0.511538461538461,0.731144465290807,0.588180112570356,0.744465290806754,0.459474671669794,0.683864915572233,0.3953095684803,0.49249530956848,0.633020637898687,0.665103189493433,0.719887429643527,0.733231206915417,0.142520945274456,0.162928110296531,0.293139293139293,0.345442608600503,0.553123974176606,0.428821534084692,0.474340737498632,0.479592953277164,0.576977787504103,0.63475216106795,0.281094391665701,0.433214774930378,-0.0446930932662742,-0.244122400191514,0.21741819748826,0.352995896561307,0.579177843114094,0.157449380909955,-0.103184155815735,-0.164022321917059,-0.330394072532896,-0.400111838519979,-0.18152465413271,-0.142794616478827,0.387534025969232,NA,c(-92.6073989868164, 38.1913986206055),"nearing-glofas"
"1756",4122301,"US",14735.4,0.0546845391467181,0.147644889237592,0.0117687998587879,-0.0991557108513512,0.0434268208510294,0.522985511305571,0.679699248120301,0.338345864661654,0.305263157894737,0.69531232751949,0.69531232751949,0.206687085180181,0.934202764030021,0.934202764030021,-0.898398807470898,0.668461538461539,0.682806324110672,0.726327312534209,0.798974358974359,0.686923076923077,0.537777777777778,0.8,0.679841897233202,0.765104460756635,0.820158102766798,0.759230769230769,0.621682665160926,0.700751879699248,-0.0225563909774436,0.248710010319917,0.415892672858617,0.529411764705882,0.814241486068112,0.573147840456968,0.581011351909185,0.562435500515996,0.708978328173375,0.799793601651187,-0.00981912275826418,0.448916408668731,0.285927108302987,0.112475272178804,0.43536350049086,0.544565664686148,0.560361077612127,0.553741806237699,0.95046439628483,0.942208462332301,-0.0928732793412294,-0.135297748517851,0.152813649688158,0.915376676986584,0.546841470283353,NA,c(-94.1457977294922, 38.0555992126465),"nearing-glofas"
"1757",4122350,"US",63499.6,-6.43304788033006,-1.50295457368575,0.013482087146874,-0.131766684275588,-6.53463042433037,0.499746835443038,0.104858299595142,-0.0062753036437247,0.280971659919028,0.287262438481456,0.287262438481456,-1.38819400449058,0.769097069636846,0.769097069636846,-0.631946102193806,0.443728222996516,0.440525328330206,0.585553470919324,0.597560975609756,0.617636022514071,0.374671669793621,0.547842401500938,0.497373358348968,0.737523452157598,0.554529616724739,0.581881533101045,0.568480300187617,0.636032388663968,0.428954708753309,0.429554655870445,0.469838056680162,0.425101214574899,0.534741218951745,0.356394554836709,0.348582995951417,0.332793522267206,0.406280774701827,0.443702812123865,0.011276550238291,0.329830902491425,0.185007399468961,0.322771606747732,0.470135664627296,0.318545005333813,0.422793030107845,0.625367091814092,-0.427935222672065,-0.349797570850202,-0.0336635678873258,-0.0216571657522051,0.301533478801067,-0.32165991902834,0.556670113901243,NA,c(-97.1264038085938, 39.355598449707),"nearing-glofas"
"1758",4122351,"US",37504.2,-2572.60275454306,-15.9327519331197,0.166250648979494,0.196148699429455,-3085.78231820269,0.0396095370223032,0.0553470919324578,0.177298311444653,0.571482176360225,0.0508394345695599,0.0508394345695599,-15.8249510182523,2.65475239326371,-0.654752393263711,-0.322792895760805,-0.0511303784134187,0.051940685519812,0.025848796693947,0.329389838748886,0.172190260108581,-0.0409205088728628,0.290981281905842,0.0214731383194231,0.128048780487805,0.234320557491289,0.284668989547038,0.265156794425087,0.471106941838649,0.241141453809864,0.233262966774341,0.282872827307511,0.302439024390244,0.356848030018762,0.127204502814259,0.0964352720450281,0.0829268292682927,0.188180112570356,0.296998123827392,0.197707873265432,0.0232213654208969,0.0112127988655877,0.336019995173141,0.512994933383374,0.158368926003821,0.292439104841719,0.321385010820526,-0.254409005628518,-0.24108818011257,0.157399027496657,0.115047840317621,0.238859181086835,-0.234521575984991,0.417413086487167,NA,c(-100.143501281738, 40.2846984863281),"nearing-glofas"
"1759",4122352,"US",21252.8,-9052.47658055083,-44.285910029431,0.217482958738318,0.273085826473552,-11568.6861578293,0.151553558999219,0.284803001876173,0.218011257035647,0.694559099437148,0.196667825013028,0.196667825013028,-44.2698228260257,1.90080292550618,0.0991970744938186,-0.221107217436817,-0.05096831699214,0.137995300218783,-0.10558301596305,0.320476460578559,0.149663722550847,0.191969531375917,0.121027895803899,0.274774546336492,0.170274606856765,0.155010662102364,0.304446497571298,0.210141142761486,0.297560975609756,-0.066953241239529,-0.190795635720517,-0.0848893893588629,0.0638741904531712,0.246308271997225,0.217823639774859,0.171857410881801,0.19718574108818,0.320450281425891,0.225703564727955,0.0720917171039856,0.049448745505023,-0.058221957455115,0,0.0973916324146913,0,0,0.142997940717006,-0.227204502814259,-0.172045028142589,0.121106635997213,0.0751396016664398,-0.0901627817719794,-0.161726078799249,0.624087583904064,NA,c(-101.228797912598, 40.1411018371582),"nearing-glofas"
