"","ID","MAT","Tcold","Thot","Tmon10","MAP","Pdry","Psdry","Pwdry","Pswet","Pwwet","totalSummerP","totalWinterP","totalP","Pthreshold","KG_zone1","KG_zone2","KG_zone3","KG_zone"
"5706","hysets_11102300",17.6268155285649,12.3091503186943,24.2657951737281,12,451.9825708061,1.1437908496732,1.1437908496732,12.7363834422658,30.9477124183007,98.8976034858388,54.80174291939,397.18082788671,451.9825708061,35.2536310571298,"C","s","a","Csa"
"5707","hysets_11105510",16.5057094913886,11.8309823619929,22.8866498644466,12,417.307304785894,0.19647355163728,0.19647355163728,7.8992443324937,29.1385390428212,89.4005037783375,42.2670025188917,375.040302267003,417.307304785894,33.0114189827772,"C","s","a","Csa"
"5708","hysets_11105850",16.897908360518,11.4701195523083,24.1418326404465,12,431.864541832669,0.47808764940239,0.47808764940239,9.24302788844622,30.4661354581673,90.7171314741036,46.7888446215139,385.075697211155,431.864541832669,33.795816721036,"C","s","a","Csa"
"5709","hysets_11106400",16.81723893081,12.4429184786752,22.4094420257044,12,406.93991416309,0.0128755364806867,0.0128755364806867,7.89270386266094,25.244635193133,88.0815450643777,37.5407725321888,369.399141630901,406.93991416309,33.63447786162,"C","s","a","Csa"
"5710","hysets_11106550",16.85580029983,12.1335903201334,22.9678413941472,12,417.872246696035,0.177312775330396,0.177312775330396,8.69713656387665,27.0837004405286,89.8777533039648,41.1629955947136,376.709251101322,417.872246696035,33.7116005996601,"C","s","a","Csa"
"5711","hysets_11107745",15.3454268403723,7.60766550140514,24.8904181656522,8,386.69512195122,1.61149825783972,1.61149825783972,10.088850174216,25.4895470383275,78.6411149825784,50.5801393728223,336.114982578397,386.69512195122,30.6908536807447,"C","s","a","Csa"
"5712","hysets_11108134",14.8346537590167,7.84102112978277,23.794014081149,8,380.610915492958,1.1919014084507,1.1919014084507,10.2147887323944,26.9542253521127,75.2816901408451,48.4612676056338,332.149647887324,380.610915492958,29.6693075180333,"C","s","a","Csa"
"5713","hysets_11108135",14.8543478303716,7.8671304371046,23.8027826093591,8,380.695652173913,1.18782608695652,1.18782608695652,10.2086956521739,26.9704347826087,75.3234782608696,48.4504347826087,332.245217391304,380.695652173913,29.7086956607432,"C","s","a","Csa"
"5714","hysets_11109375",10.895456627178,3.94287671547842,19.9480821896906,6,504.280821917808,2.43013698630137,2.43013698630137,14.472602739726,38.458904109589,96.0876712328767,69.7452054794521,434.535616438356,504.280821917808,21.790913254356,"C","s","b","Csb"
"5715","hysets_11109395",13.6519480538575,6.19047619408859,22.9303030451655,7,378.987012987013,1.27272727272727,1.27272727272727,10.8831168831169,27.7186147186147,72.4458874458875,49.5281385281385,329.458874458875,378.987012987013,27.3038961077149,"C","s","a","Csa"
"5716","hysets_11109800",13.0934307697492,6.22289232474107,21.9257230905386,7,441.461538461539,1.6,1.6,12.2615384615385,32.6307692307692,85.6923076923077,57.7692307692307,383.692307692308,441.461538461539,26.1868615394984,"C","s","b","Csb"
"5717","hysets_11111500",11.1371621747275,5.37837838095588,19.2902703259442,6,545.805405405405,2.08108108108108,2.08108108108108,15.2,41.8054054054054,105.962162162162,72.8594594594594,472.945945945946,545.805405405405,22.2743243494549,"C","s","b","Csb"
"5718","hysets_11113000",12.782519891287,6.73383948161649,21.0262473224301,7,475.215835140998,1.50650759219089,1.50650759219089,12.5325379609544,34.9316702819957,93.6268980477223,59.9566160520608,415.259219088937,475.215835140998,25.5650397825741,"C","s","b","Csb"
"5719","hysets_11113001",12.782519891287,6.73383948161649,21.0262473224301,7,475.215835140998,1.50650759219089,1.50650759219089,12.5325379609544,34.9316702819957,93.6268980477223,59.9566160520608,415.259219088937,475.215835140998,25.5650397825741,"C","s","b","Csb"
"5720","hysets_11114495",12.5628788006125,7.40795456008478,20.0443182208321,7,521.039772727273,1.52840909090909,1.52840909090909,14.1420454545455,38.7215909090909,103.380681818182,65.6988636363636,455.340909090909,521.039772727273,25.125757601225,"C","s","b","Csb"
"5721","hysets_11116550",13.1523199017377,8.09816849537385,20.4739926935552,8,508.663003663004,1.34798534798535,1.34798534798535,13.7179487179487,36.8571428571429,101.758241758242,62.4139194139195,446.249084249084,508.663003663004,26.3046398034754,"C","s","b","Csb"
"5722","hysets_11117500",15.2246010631111,10.2276595729463,21.7851064255897,12,499.356382978723,0.973404255319149,0.973404255319149,12.4840425531915,31.2446808510638,110.781914893617,53.75,445.606382978723,499.356382978723,30.4492021262223,"C","s","b","Csb"
"5723","hysets_11118501",14.4482674467209,9.59868228906768,21.0530014847941,9,502.426061493412,0.979502196193265,0.979502196193265,12.9824304538799,32.9663250366032,106.159590043924,56.117130307467,446.308931185945,502.426061493412,28.8965348934417,"C","s","b","Csb"
"5724","hysets_11123000",12.982543200267,7.85271807717614,20.2662452885836,7,528.304677623262,1.173198482933,1.173198482933,15.0164348925411,37.9823008849558,104.873577749684,64.3249051833123,463.979772439949,528.304677623262,25.965086400534,"C","s","b","Csb"
"5725","hysets_11123500",13.2964168339086,8.30236685863849,20.3671597794903,8,522.194280078895,0.989151873767258,0.989151873767258,14.870808678501,37.2534516765286,103.764299802761,62.4102564102564,459.784023668639,522.194280078895,26.5928336678172,"C","s","b","Csb"
"5726","hysets_11124500",13.0517901326403,8.2700000056514,20.0066666426482,7,564.199999999999,1.22222222222222,1.22222222222222,17.5777777777778,43.037037037037,109.981481481481,71.7555555555555,492.444444444444,564.199999999999,26.1035802652806,"C","s","b","Csb"
"5727","hysets_11132500",14.3333817854408,11.181976745295,18.2843023788097,12,492.953488372093,0.0116279069767442,0.0116279069767442,15.8139534883721,39.6744186046512,98.6511627906977,58.9883720930233,433.96511627907,492.953488372093,28.6667635708816,"C","s","b","Csb"
"5728","hysets_11136100",14.7187625946094,10.986317905142,19.0179074285496,12,470.388329979879,0,0,16.3581488933602,36.7927565392354,96.6136820925553,54.5492957746479,415.839034205231,470.388329979879,29.4375251892187,"C","s","b","Csb"
"5729","hysets_11136500",11.2148318029446,4.77461774779387,19.8785932231751,6,516.385321100917,1.96024464831804,1.96024464831804,15.045871559633,40.3822629969419,99.2966360856269,70.2446483180428,446.140672782875,516.385321100917,22.4296636058893,"C","s","b","Csb"
"5730","hysets_11137900",14.2826152975607,9.32610963467829,20.1318537759407,10,498.76501305483,0.198433420365535,0.198433420365535,18.88772845953,36.0391644908616,101.686684073107,58.5456919060052,440.219321148825,498.76501305483,28.5652305951214,"C","s","b","Csb"
"5731","hysets_11138500",12.8662656431669,7.82954765765913,20.0777670811643,7,562.729547641963,1.07699711260828,1.07699711260828,18.6727622714148,43.7709335899904,109.657362848893,72.818094321463,489.9114533205,562.729547641963,25.7325312863339,"C","s","b","Csb"
"5732","hysets_11140000",13.4727910668103,8.63707468402919,20.1559403262921,8,534.626865671642,0.671641791044776,0.671641791044776,18.0746268656716,41.7611940298507,104.761194029851,67.5074626865672,467.119402985075,534.626865671642,26.9455821336205,"C","s","b","Csb"
"5733","hysets_11143000",12.0028571537563,8.16114290237427,17.7320000566755,7,937.794285714286,3.13714285714286,3.13714285714286,41.6914285714286,73.92,181.451428571429,116.32,821.474285714286,937.794285714286,24.0057143075126,"C","s","b","Csb"
"5734","hysets_11143200",12.4319963130933,8.22724757187924,18.3264177040111,7,846.058091286307,2.82572614107884,2.82572614107884,37.9806362378976,68.7551867219917,162.264177040111,106.262793914246,739.795297372061,846.058091286307,24.8639926261867,"C","s","b","Csb"
"5735","hysets_11143250",12.5719417315482,8.58023886261235,18.033767647386,8,840.780673181326,2.76981541802389,2.76981541802389,37.8914223669924,68.1465798045603,161.894679695983,104.549402823019,736.231270358307,840.780673181326,25.1438834630964,"C","s","b","Csb"
"5736","hysets_11143500",13.6151341038493,7.76743300573122,20.7701149352209,8,533.509578544061,0.71264367816092,0.71264367816092,21.1800766283525,40.8773946360153,106.103448275862,67.1455938697318,466.363984674329,533.509578544061,27.2302682076987,"C","s","b","Csb"
"5737","hysets_11144600",13.6752208861002,7.78530124641327,20.701927713601,8,527.361445783132,0.783132530120482,0.783132530120482,20.7975903614458,39.3831325301205,105.901204819277,65.021686746988,462.339759036145,527.361445783132,27.3504417722005,"C","s","b","Csb"
"5738","hysets_11147500",13.9006896957584,8.0879310903878,20.4025518154276,9,516.637931034483,0.948275862068966,0.948275862068966,20.7413793103448,34.4310344827586,106.758620689655,58.7068965517241,457.931034482759,516.637931034483,27.8013793915168,"C","s","b","Csb"
"5739","hysets_11148900",12.8998702515643,8.04031148171342,18.8645328699924,8,655.461937716263,1.49134948096886,1.49134948096886,28.0207612456747,47.1695501730104,129.371972318339,76.7318339100346,578.730103806228,655.461937716263,25.7997405031286,"C","s","b","Csb"
"5740","hysets_11149900",13.5006562588612,8.12287503957748,19.9780000066757,8,606.67,1.4575,1.4575,26.4875,44.90875,118.20875,72.88125,533.78875,606.67,27.0013125177224,"C","s","b","Csb"
"5741","hysets_11151300",14.2640506069954,7.67043379670409,22.1695205022211,8,470.010273972603,1.0958904109589,1.0958904109589,22.2659817351598,37.4440639269406,89.0228310502283,62.3299086757991,407.680365296804,470.010273972603,28.5281012139908,"C","s","a","Csa"
"5742","hysets_11151870",11.7159926486171,7.29411764939626,18.1887255416197,6,888.438725490197,3.04901960784314,3.04901960784314,39.1299019607843,68.6838235294118,171.539215686275,111.571078431373,776.867647058824,888.438725490197,23.4319852972342,"C","s","b","Csb"
